movie_title,url,rating,rating_count,genre,content_rating
BoJack Horseman,https://www.imdb.com/title/tt3398228/,8.8,204707,"Animation, Comedy, Drama",TV-MA
Fawlty Towers,https://www.imdb.com/title/tt0072500/,8.8,104098,Comedy,TV-PG
The Chosen,https://www.imdb.com/title/tt5622316/,9.1,53886,"Drama, History",TV-PG
Leyla ile Mecnun,https://www.imdb.com/title/tt1831164/,9.1,99207,"Adventure, Comedy, Drama",TV-PG
Dragon Ball Z,https://www.imdb.com/title/tt0214341/,8.8,158075,"Animation, Action, Adventure",TV-PG
Blackadder Goes Forth,https://www.imdb.com/title/tt0096548/,8.8,59822,"Comedy, War",TV-PG
Panchayat,https://www.imdb.com/title/tt12004706/,9.0,101048,"Comedy, Drama",TV-14
Pride and Prejudice,https://www.imdb.com/title/tt0112130/,8.8,96869,"Drama, Romance",TV-PG
Freaks and Geeks,https://www.imdb.com/title/tt0193676/,8.8,158607,"Comedy, Drama",TV-14
Twin Peaks,https://www.imdb.com/title/tt0098936/,8.8,226475,"Crime, Drama, Mystery",TV-MA
Dragon Ball Z: Doragon bôru zetto,https://www.imdb.com/title/tt0121220/,8.8,93771,"Animation, Action, Adventure",TV-PG
Chappelle&apos;s Show,https://www.imdb.com/title/tt0353049/,8.8,75373,"Comedy, Music",TV-MA
Bleach: Sennen Kessen-hen,https://www.imdb.com/title/tt14986406/,9.0,56609,"Animation, Action, Adventure",TV-MA
Narcos,https://www.imdb.com/title/tt2707408/,8.7,492529,"Biography, Crime, Drama",TV-MA
Vinland Saga,https://www.imdb.com/title/tt10233448/,8.8,91181,"Animation, Action, Adventure",TV-MA
Gullak,https://www.imdb.com/title/tt10530900/,9.1,25797,"Comedy, Drama, Family",N/A
"I, Claudius",https://www.imdb.com/title/tt0074006/,8.8,20685,"Biography, Drama, History",Not Rated
Kota Factory,https://www.imdb.com/title/tt9432978/,9.0,86951,"Comedy, Drama",TV-14
South Park,https://www.imdb.com/title/tt0121955/,8.7,417835,"Animation, Comedy",TV-MA
Black Mirror,https://www.imdb.com/title/tt2085059/,8.7,669562,"Crime, Drama, Mystery",TV-MA
Over the Garden Wall,https://www.imdb.com/title/tt3718778/,8.7,78206,"Animation, Short, Adventure",TV-PG
Ted Lasso,https://www.imdb.com/title/tt10986410/,8.8,385633,"Comedy, Drama, Sport",TV-MA
X-Men &apos;97,https://www.imdb.com/title/tt16026746/,8.8,41107,"Animation, Action, Adventure",TV-14
Eungdaphara 1988,https://www.imdb.com/title/tt5182866/,9.0,14688,"Comedy, Drama, Family",N/A
Peaky Blinders,https://www.imdb.com/title/tt2442560/,8.7,695181,"Crime, Drama",TV-MA
Six Feet Under,https://www.imdb.com/title/tt0248654/,8.7,156434,"Comedy, Drama",TV-MA
Steins;Gate,https://www.imdb.com/title/tt1910272/,8.8,80036,"Animation, Comedy, Drama",TV-14
Rome,https://www.imdb.com/title/tt0384766/,8.7,192624,"Action, Drama, Romance",TV-MA
Oz,https://www.imdb.com/title/tt0118421/,8.7,110921,"Crime, Drama, Thriller",TV-MA
Naui ajusshi,https://www.imdb.com/title/tt7923710/,9.0,11693,"Drama, Family",TV-14
Dark,https://www.imdb.com/title/tt5753856/,8.7,478064,"Crime, Drama, Mystery",TV-MA
Kenpuu Denki Berserk,https://www.imdb.com/title/tt0318871/,8.7,62344,"Animation, Action, Adventure",TV-MA
Fleabag,https://www.imdb.com/title/tt5687612/,8.7,221057,"Comedy, Drama",TV-MA
Severance,https://www.imdb.com/title/tt11280740/,8.7,251080,"Drama, Mystery, Sci-Fi",TV-MA
The Last of Us,https://www.imdb.com/title/tt3581920/,8.7,601451,"Action, Adventure, Drama",TV-MA
Downton Abbey,https://www.imdb.com/title/tt1606375/,8.7,232423,"Drama, Romance",TV-PG
The Shield,https://www.imdb.com/title/tt0286486/,8.7,91881,"Crime, Drama, Thriller",TV-MA
Battlestar Galactica,https://www.imdb.com/title/tt0407362/,8.7,180580,"Action, Adventure, Drama",TV-14
The Grand Tour,https://www.imdb.com/title/tt5712554/,8.7,89460,"Comedy, Sport, Talk-Show",TV-14
Blue Eye Samurai,https://www.imdb.com/title/tt13309742/,8.7,86203,"Animation, Action, Adventure",TV-MA
The Simpsons,https://www.imdb.com/title/tt0096697/,8.7,448695,"Animation, Comedy",TV-14
Mad Men,https://www.imdb.com/title/tt0804503/,8.7,270898,Drama,TV-MA
Peep Show,https://www.imdb.com/title/tt0387764/,8.7,69522,Comedy,TV-MA
Star Trek: The Next Generation,https://www.imdb.com/title/tt0092455/,8.7,141886,"Action, Adventure, Drama",TV-PG
House M.D.,https://www.imdb.com/title/tt0412142/,8.7,545774,"Drama, Mystery",TV-14
Arrested Development,https://www.imdb.com/title/tt0367279/,8.7,331978,Comedy,TV-14
One Punch Man: Wanpanman,https://www.imdb.com/title/tt4508902/,8.7,197111,"Animation, Action, Comedy",TV-PG
Naruto: Shippûden,https://www.imdb.com/title/tt0988824/,8.7,189798,"Animation, Action, Adventure",TV-PG
Justice League Unlimited,https://www.imdb.com/title/tt6025022/,8.7,22555,"Animation, Action, Adventure",TV-Y7-FV
Monster,https://www.imdb.com/title/tt0434706/,8.7,53462,"Animation, Crime, Drama",TV-14
The Boys,https://www.imdb.com/title/tt1190634/,8.7,752485,"Action, Comedy, Crime",TV-MA
Invincible,https://www.imdb.com/title/tt6741278/,8.6,227118,"Animation, Action, Adventure",TV-MA
The Adventures of Sherlock Holmes,https://www.imdb.com/title/tt0086661/,8.7,25678,"Crime, Drama, Mystery",TV-PG
Friday Night Lights,https://www.imdb.com/title/tt0758745/,8.7,75327,"Drama, Sport",TV-14
Mahabharat,https://www.imdb.com/title/tt0158417/,8.9,25006,"Action, Adventure, Drama",TV-14
The Marvelous Mrs. Maisel,https://www.imdb.com/title/tt5788792/,8.7,149040,"Comedy, Drama",TV-MA
Stranger Things,https://www.imdb.com/title/tt4574334/,8.7,1414193,"Drama, Fantasy, Horror",TV-14
Line of Duty,https://www.imdb.com/title/tt2303687/,8.7,74494,"Crime, Drama, Mystery",TV-14
Top Gear,https://www.imdb.com/title/tt1628033/,8.7,131186,"Adventure, Sport, Talk-Show",TV-PG
1883,https://www.imdb.com/title/tt13991232/,8.7,130849,"Drama, Western",TV-MA
The Thick of It,https://www.imdb.com/title/tt0459159/,8.7,27657,Comedy,TV-MA
How to with John Wilson,https://www.imdb.com/title/tt10801534/,8.7,15110,"Documentary, Comedy",TV-MA
This Is Us,https://www.imdb.com/title/tt5555260/,8.7,165606,"Comedy, Drama, Romance",TV-14
Behzat Ç.,https://www.imdb.com/title/tt1795096/,8.8,34463,"Crime, Drama, Mystery",TV-14
Father Ted,https://www.imdb.com/title/tt0111958/,8.7,45620,Comedy,TV-14
Sarabhai V/S Sarabhai,https://www.imdb.com/title/tt1518542/,8.9,19099,Comedy,TV-PG
Aspirants,https://www.imdb.com/title/tt14392248/,9.2,314910,Drama,N/A
Kôdo Giasu: Hangyaku no Rurûshu,https://www.imdb.com/title/tt0994314/,8.7,87736,"Animation, Action, Drama",TV-14
The Mandalorian,https://www.imdb.com/title/tt8111088/,8.6,613732,"Action, Adventure, Fantasy",TV-14
Parks and Recreation,https://www.imdb.com/title/tt1266020/,8.6,299092,Comedy,TV-14
The Penguin,https://www.imdb.com/title/tt15435876/,8.6,170703,"Crime, Drama",TV-MA
House of Cards,https://www.imdb.com/title/tt1856010/,8.6,542739,Drama,TV-MA
The X Files,https://www.imdb.com/title/tt0106179/,8.6,259043,"Adventure, Crime, Drama",TV-14
Atlanta,https://www.imdb.com/title/tt4288182/,8.6,92875,"Comedy, Drama, Music",TV-MA
Deadwood,https://www.imdb.com/title/tt0348914/,8.6,122228,"Crime, Drama, History",TV-MA
Dexter,https://www.imdb.com/title/tt0773262/,8.6,820828,"Crime, Drama, Mystery",TV-MA
Adventure Time,https://www.imdb.com/title/tt1305826/,8.6,120159,"Animation, Action, Adventure",TV-PG
The Crown,https://www.imdb.com/title/tt4786824/,8.6,266952,"Biography, Drama, History",TV-MA
Ramayan,https://www.imdb.com/title/tt0268093/,9.0,25552,"Adventure, Drama, Family",TV-14
It&apos;s a Sin,https://www.imdb.com/title/tt9140342/,8.6,38873,Drama,TV-MA
Shogun,https://www.imdb.com/title/tt2788316/,8.6,203400,"Adventure, Drama, History",TV-MA
Bron/Broen,https://www.imdb.com/title/tt1733785/,8.6,80026,"Crime, Mystery, Thriller",TV-MA
Primal,https://www.imdb.com/title/tt10332508/,8.7,23722,"Animation, Action, Adventure",TV-MA
Daredevil,https://www.imdb.com/title/tt3322312/,8.6,490808,"Action, Crime, Drama",TV-MA
Mr Inbetween,https://www.imdb.com/title/tt7472896/,8.7,37735,"Crime, Drama",TV-MA
Blackadder II,https://www.imdb.com/title/tt0088484/,8.6,51677,Comedy,TV-PG
Lonesome Dove,https://www.imdb.com/title/tt0096639/,8.7,27583,"Adventure, Drama, Western",TV-14
Mindhunter,https://www.imdb.com/title/tt5290382/,8.6,359371,"Crime, Drama, Mystery",TV-MA
Poirot,https://www.imdb.com/title/tt0094525/,8.6,54946,"Crime, Drama, Mystery",TV-14
Haikyû!!,https://www.imdb.com/title/tt3398540/,8.7,42120,"Animation, Comedy, Drama",TV-14
Mr. Bean,https://www.imdb.com/title/tt0096657/,8.6,140271,"Comedy, Family",Not Rated
The Jinx: The Life and Deaths of Robert Durst,https://www.imdb.com/title/tt4299972/,8.6,55542,"Documentary, Biography, Crime",TV-14
Sarangeui bulsachak,https://www.imdb.com/title/tt10850932/,8.7,48434,"Adventure, Comedy, Drama",TV-14
The Return of Sherlock Holmes,https://www.imdb.com/title/tt0090509/,8.7,14362,"Crime, Drama, Mystery",TV-PG
